,months_as_customer,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,fraud_reported,vehicle_age
213,11,40,OH,500/1000,2000,1217.69,0,FEMALE,MD,prof-specialty,reading,wife,24000,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Springfield,6,3,NO,1,0,NO,53460,9720,9720,34020,Dodge,Neon,1,14
214,142,33,IN,100/300,2000,1362.64,5000000,FEMALE,JD,exec-managerial,cross-fit,wife,0,0,Single Vehicle Collision,Side Collision,Total Loss,Other,NC,Columbus,11,1,YES,1,3,NO,81360,6780,13560,61020,Suburu,Legacy,1,9
215,272,43,OH,100/300,1000,1279.13,0,MALE,PhD,craft-repair,bungie-jumping,other-relative,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NC,Springfield,5,3,NO,1,2,YES,81070,7370,14740,58960,Audi,A3,1,12
216,69,26,IL,100/300,2000,924.72,0,FEMALE,High School,machine-op-inspct,base-jumping,unmarried,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,NY,Columbus,14,1,NO,2,2,NO,63120,5260,10520,47340,Audi,A5,0,10
217,38,28,OH,250/500,1000,1019.44,0,MALE,Masters,transport-moving,yachting,not-in-family,0,-39700,Vehicle Theft,Rear Collision,Trivial Damage,None,NC,Springfield,17,1,NO,2,1,NO,7200,1440,720,5040,BMW,X5,0,14
218,328,46,IL,500/1000,500,1314.6,0,FEMALE,MD,prof-specialty,exercise,not-in-family,24800,0,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,Hillsdale,0,1,NO,2,3,NO,70290,12780,6390,51120,Saab,92x,1,20
219,281,43,OH,100/300,1000,1515.18,6000000,MALE,College,priv-house-serv,camping,other-relative,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,SC,Northbrook,21,3,NO,1,0,NO,60190,9260,9260,41670,BMW,X6,0,19
220,246,44,OH,250/500,2000,1649.18,0,MALE,College,farming-fishing,base-jumping,other-relative,0,-58600,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Hillsdale,18,1,YES,1,2,YES,61380,11160,5580,44640,Honda,Civic,1,9
221,298,49,OH,250/500,500,1451.01,0,FEMALE,College,other-service,exercise,own-child,47800,0,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Springfield,17,1,NO,2,2,NO,28100,2810,5620,19670,Jeep,Grand Cherokee,0,6
222,330,50,IL,500/1000,1000,978.46,0,FEMALE,High School,sales,yachting,husband,0,0,Single Vehicle Collision,Side Collision,Total Loss,Fire,NY,Hillsdale,19,1,YES,0,0,NO,49060,8920,8920,31220,Chevrolet,Silverado,0,23
223,362,50,IL,250/500,500,1198.34,4000000,MALE,Associate,sales,board-games,wife,53000,-72500,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,Columbus,17,3,NO,1,1,NO,57060,6340,6340,44380,Mercedes,E400,0,23
224,241,38,IN,100/300,2000,1003.23,0,FEMALE,Associate,tech-support,kayaking,not-in-family,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,VA,Arlington,23,3,NO,0,3,YES,77880,12980,12980,51920,Accura,MDX,0,10
225,245,41,IN,500/1000,2000,1212.0,0,MALE,Masters,exec-managerial,basketball,unmarried,24400,-60500,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,NY,Springfield,4,1,YES,0,1,YES,73500,7350,14700,51450,Jeep,Wrangler,0,19
226,371,52,IL,250/500,1000,1242.96,7000000,FEMALE,High School,other-service,paintball,own-child,0,-37100,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,Riverwood,2,2,YES,2,0,NO,88920,6840,13680,68400,Accura,RSX,0,8
227,343,52,IL,500/1000,1000,1053.02,0,FEMALE,Associate,prof-specialty,bungie-jumping,not-in-family,0,0,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Arlington,2,1,NO,0,2,NO,47630,12990,4330,30310,Toyota,Corolla,1,13
228,377,53,IL,100/300,500,1693.63,0,FEMALE,MD,craft-repair,kayaking,unmarried,0,-64000,Multi-vehicle Collision,Front Collision,Total Loss,Fire,WV,Hillsdale,10,3,YES,1,3,NO,59040,6560,6560,45920,Saab,93,0,3
229,154,37,IL,250/500,1000,2047.59,0,FEMALE,MD,farming-fishing,dancing,other-relative,0,-67800,Single Vehicle Collision,Rear Collision,Minor Damage,Other,SC,Columbus,2,1,NO,0,3,NO,79530,14460,7230,57840,Accura,MDX,0,18
230,166,34,OH,100/300,1000,1083.72,0,FEMALE,High School,machine-op-inspct,base-jumping,wife,65600,-68200,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Columbus,18,1,NO,0,2,YES,53680,4880,4880,43920,Honda,CRV,0,13
231,298,46,OH,500/1000,1000,1138.42,6000000,MALE,JD,prof-specialty,dancing,own-child,36900,-55000,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Arlington,18,1,NO,2,3,YES,33550,3050,6100,24400,Volkswagen,Passat,0,13
232,235,42,IN,250/500,500,1072.62,0,FEMALE,Masters,machine-op-inspct,exercise,husband,39900,-60200,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,Springfield,7,4,NO,2,1,YES,69100,6910,6910,55280,Toyota,Highlander,0,12
233,172,35,IL,100/300,2000,1219.04,0,MALE,MD,handlers-cleaners,paintball,own-child,63600,-68700,Multi-vehicle Collision,Rear Collision,Major Damage,Police,OH,Hillsdale,19,3,NO,2,0,NO,79750,14500,14500,50750,Nissan,Pathfinder,0,19
234,27,28,IN,100/300,2000,1371.78,0,MALE,JD,farming-fishing,polo,other-relative,0,-32500,Multi-vehicle Collision,Front Collision,Major Damage,Other,PA,Riverwood,10,3,NO,0,2,YES,53600,5360,10720,37520,Audi,A5,1,3
235,428,54,IN,100/300,2000,1506.21,0,MALE,Masters,transport-moving,kayaking,unmarried,0,-24400,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,NY,Riverwood,16,3,NO,1,0,NO,76560,12760,6380,57420,Nissan,Ultima,0,9
236,99,32,IN,100/300,1000,1058.21,3000000,MALE,JD,craft-repair,golf,unmarried,0,0,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Arlington,17,1,YES,1,1,NO,41130,4570,4570,31990,Dodge,RAM,0,19
237,107,26,IL,500/1000,2000,932.14,0,MALE,MD,sales,cross-fit,own-child,40600,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Columbus,2,3,NO,2,3,NO,78650,14300,7150,57200,Audi,A3,1,22
238,272,41,OH,500/1000,2000,1608.34,0,FEMALE,Associate,farming-fishing,reading,own-child,33300,-10600,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,Springfield,19,1,NO,1,1,NO,71060,6460,12920,51680,Saab,92x,0,8
239,151,37,IN,500/1000,1000,1728.56,0,FEMALE,Masters,farming-fishing,dancing,own-child,54000,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,WV,Northbrook,0,1,YES,1,1,NO,38830,3530,3530,31770,Suburu,Legacy,0,19
240,249,43,IL,250/500,1000,1518.46,0,FEMALE,MD,armed-forces,cross-fit,own-child,0,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Riverwood,16,1,NO,0,0,YES,53500,5350,5350,42800,Saab,92x,0,3
241,177,38,IL,100/300,2000,1540.19,0,FEMALE,College,adm-clerical,skydiving,other-relative,0,-74500,Single Vehicle Collision,Front Collision,Major Damage,Other,VA,Columbus,20,1,YES,2,0,NO,73700,7370,7370,58960,Chevrolet,Silverado,1,17
242,190,40,OH,500/1000,2000,965.21,0,FEMALE,JD,exec-managerial,camping,other-relative,36900,-53700,Parked Car,Rear Collision,Trivial Damage,None,SC,Hillsdale,10,1,NO,2,1,YES,6300,630,630,5040,Nissan,Ultima,0,17
243,174,36,IL,100/300,2000,1278.75,0,FEMALE,College,tech-support,paintball,own-child,53200,-53800,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,NY,Riverwood,21,3,NO,2,2,NO,65400,10900,10900,43600,Dodge,RAM,0,6
244,95,28,OH,250/500,1000,773.99,0,MALE,Associate,armed-forces,board-games,other-relative,0,-70300,Vehicle Theft,Rear Collision,Trivial Damage,None,PA,Springfield,3,1,YES,1,2,NO,3200,640,320,2240,Mercedes,E400,0,4
245,371,51,IN,500/1000,1000,1532.47,0,FEMALE,Associate,tech-support,golf,other-relative,60300,-24700,Single Vehicle Collision,Rear Collision,Major Damage,Fire,NY,Arlington,7,1,YES,0,3,YES,75400,7540,15080,52780,Dodge,RAM,1,6
246,2,28,IL,250/500,1000,1340.56,0,FEMALE,JD,machine-op-inspct,golf,not-in-family,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NY,Northbend,19,1,YES,0,2,YES,58140,6460,6460,45220,Saab,92x,0,10
247,269,44,OH,100/300,500,1297.75,4000000,FEMALE,JD,other-service,chess,own-child,0,-41400,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Columbus,15,3,NO,0,1,NO,98670,15180,15180,68310,Chevrolet,Tahoe,1,8
248,101,27,IL,250/500,1000,433.33,0,MALE,Masters,machine-op-inspct,golf,other-relative,25900,0,Parked Car,Rear Collision,Minor Damage,None,SC,Hillsdale,7,1,NO,0,3,NO,5900,1180,590,4130,Mercedes,E400,0,9
249,94,30,IN,250/500,2000,1025.54,0,FEMALE,High School,armed-forces,paintball,other-relative,0,-52600,Single Vehicle Collision,Rear Collision,Major Damage,Fire,NC,Arlington,19,1,NO,1,3,YES,64100,6410,6410,51280,Chevrolet,Malibu,0,17
250,117,28,OH,250/500,500,1264.77,0,FEMALE,Associate,transport-moving,yachting,unmarried,47500,-32500,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Springfield,13,2,YES,0,1,NO,55440,5040,10080,40320,Suburu,Forrestor,1,9
251,111,27,OH,250/500,500,1459.97,5000000,MALE,MD,sales,yachting,other-relative,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,SC,Northbend,2,3,NO,1,2,NO,80850,7350,14700,58800,Ford,F150,1,7
252,242,40,OH,100/300,500,1238.65,0,FEMALE,High School,transport-moving,bungie-jumping,husband,0,-44600,Vehicle Theft,Rear Collision,Trivial Damage,Police,WV,Springfield,5,1,YES,1,1,NO,7480,680,680,6120,Saab,95,0,20
253,440,61,OH,250/500,500,1050.76,0,MALE,PhD,transport-moving,movies,wife,41500,-70200,Single Vehicle Collision,Side Collision,Major Damage,Fire,OH,Riverwood,21,1,NO,2,3,NO,53640,5960,5960,41720,Nissan,Maxima,1,14
254,20,23,OH,500/1000,1000,1711.72,0,FEMALE,JD,tech-support,base-jumping,wife,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbrook,21,3,NO,2,2,NO,63250,5750,11500,46000,Chevrolet,Tahoe,1,16
255,461,57,IL,100/300,500,865.33,7000000,FEMALE,High School,farming-fishing,golf,own-child,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,Hillsdale,7,3,NO,0,1,NO,59040,9840,9840,39360,Dodge,RAM,0,23
256,208,36,IL,250/500,500,1153.49,0,MALE,Associate,craft-repair,base-jumping,other-relative,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,SC,Arlington,16,3,YES,1,0,YES,50500,10100,5050,35350,Accura,TL,0,14
257,279,43,OH,500/1000,2000,1281.25,0,MALE,Associate,machine-op-inspct,cross-fit,other-relative,0,0,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Columbus,13,1,YES,0,1,NO,57690,6410,12820,38460,Mercedes,C300,1,8
258,244,40,IL,100/300,500,1342.8,0,FEMALE,MD,sales,base-jumping,husband,0,0,Vehicle Theft,Rear Collision,Trivial Damage,Police,NY,Springfield,2,1,YES,1,3,YES,5940,660,660,4620,Toyota,Camry,0,4
259,134,30,OH,250/500,2000,1443.32,0,FEMALE,PhD,exec-managerial,dancing,unmarried,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbend,19,3,NO,0,2,YES,47790,5310,5310,37170,Suburu,Impreza,1,23
260,122,29,OH,250/500,1000,1629.94,0,FEMALE,Masters,priv-house-serv,skydiving,other-relative,0,-47100,Parked Car,Rear Collision,Trivial Damage,None,SC,Riverwood,17,1,NO,0,1,NO,3850,350,350,3150,Dodge,Neon,0,4
261,156,31,IL,100/300,2000,1134.08,0,MALE,PhD,other-service,reading,husband,0,0,Single Vehicle Collision,Front Collision,Major Damage,Police,NC,Arlington,3,1,NO,2,0,NO,59000,5900,5900,47200,Ford,Fusion,1,5
262,232,43,OH,250/500,500,1483.91,8000000,MALE,College,machine-op-inspct,golf,husband,0,-33600,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,NY,Arlington,17,3,NO,0,1,NO,70600,7060,14120,49420,Volkswagen,Passat,1,5
263,244,40,IN,500/1000,2000,1304.67,7000000,MALE,Masters,armed-forces,base-jumping,other-relative,0,-45000,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Hillsdale,5,3,NO,1,1,NO,61490,5590,11180,44720,Dodge,RAM,0,17
264,84,30,IL,500/1000,2000,1035.79,0,FEMALE,MD,protective-serv,kayaking,wife,44400,-51500,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,9,1,NO,1,0,YES,57640,5240,10480,41920,Volkswagen,Passat,0,8
265,394,57,IL,250/500,500,1401.2,0,FEMALE,High School,craft-repair,movies,own-child,51500,0,Vehicle Theft,Rear Collision,Trivial Damage,Police,NC,Hillsdale,9,1,NO,1,0,NO,6890,1060,1060,4770,Audi,A5,0,19
266,246,45,IL,250/500,1000,1665.45,0,MALE,JD,machine-op-inspct,hiking,wife,34400,-33100,Multi-vehicle Collision,Side Collision,Major Damage,Fire,PA,Columbus,9,3,NO,2,2,NO,53280,11840,5920,35520,Toyota,Camry,1,12
267,35,29,IN,500/1000,2000,653.66,0,FEMALE,JD,handlers-cleaners,video-games,unmarried,52100,-46900,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Springfield,22,3,NO,0,0,NO,78300,15660,7830,54810,BMW,X5,0,9
268,156,37,OH,100/300,500,1080.13,0,MALE,Associate,protective-serv,reading,other-relative,0,-61000,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,PA,Springfield,15,3,YES,0,3,NO,41490,4610,4610,32270,Nissan,Pathfinder,0,17
269,195,36,IN,100/300,2000,1346.18,0,FEMALE,Associate,machine-op-inspct,camping,wife,57800,-53300,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,Hillsdale,14,3,YES,2,3,YES,68970,12540,6270,50160,Chevrolet,Tahoe,0,11
270,369,55,OH,250/500,2000,1589.54,0,MALE,College,handlers-cleaners,camping,husband,55400,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,VA,Arlington,6,3,NO,2,0,YES,85300,17060,8530,59710,Toyota,Highlander,0,15
271,271,40,IL,100/300,1000,1251.65,0,FEMALE,Associate,other-service,camping,wife,71200,0,Parked Car,Rear Collision,Minor Damage,None,NY,Hillsdale,6,1,NO,0,0,NO,3080,560,280,2240,Audi,A3,0,6
272,332,47,IL,100/300,2000,1083.01,0,MALE,MD,craft-repair,paintball,other-relative,91900,0,Multi-vehicle Collision,Front Collision,Major Damage,Police,WV,Arlington,22,4,YES,2,0,NO,71760,11040,11040,49680,Jeep,Grand Cherokee,1,8
273,107,26,OH,100/300,500,974.59,0,FEMALE,JD,armed-forces,skydiving,wife,62800,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,NY,Arlington,14,3,NO,1,0,NO,59700,11940,11940,35820,Nissan,Ultima,0,16
274,217,39,IL,500/1000,2000,1399.85,0,FEMALE,Masters,other-service,skydiving,other-relative,49900,-19800,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Columbus,16,3,NO,0,2,NO,64920,10820,10820,43280,Ford,Fusion,0,21
275,243,43,IN,500/1000,500,1307.74,0,FEMALE,Associate,machine-op-inspct,board-games,own-child,0,-75700,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Riverwood,10,3,NO,0,1,NO,37530,4170,4170,29190,Jeep,Wrangler,0,10
276,296,42,IN,250/500,2000,1219.27,0,MALE,Associate,tech-support,paintball,husband,53100,-63400,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,WV,Columbus,9,3,YES,1,2,NO,64080,7120,7120,49840,Saab,93,0,6
277,264,41,OH,100/300,500,1411.3,0,MALE,PhD,prof-specialty,cross-fit,unmarried,55600,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,PA,Northbrook,4,1,NO,1,0,NO,60390,10980,5490,43920,BMW,M5,1,14
278,108,33,IL,100/300,2000,694.45,0,FEMALE,JD,armed-forces,exercise,not-in-family,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Northbend,6,3,NO,0,1,YES,64350,5850,11700,46800,Nissan,Pathfinder,1,7
279,32,38,IL,100/300,500,1006.77,6000000,FEMALE,College,other-service,sleeping,own-child,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,15,3,YES,2,1,YES,70900,14180,7090,49630,BMW,X6,0,21
280,259,39,OH,250/500,1000,1422.36,0,FEMALE,JD,craft-repair,movies,unmarried,0,-83900,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,PA,Columbus,12,3,NO,1,3,NO,46560,7760,7760,31040,Nissan,Ultima,0,6
281,186,33,IN,100/300,1000,1348.32,0,FEMALE,Associate,craft-repair,cross-fit,wife,37600,-37600,Vehicle Theft,Rear Collision,Trivial Damage,Police,NY,Arlington,3,1,NO,2,1,NO,4730,860,860,3010,Chevrolet,Malibu,1,5
282,201,40,OH,250/500,2000,1315.56,0,FEMALE,PhD,transport-moving,video-games,not-in-family,0,0,Vehicle Theft,Rear Collision,Minor Damage,Police,SC,Northbrook,14,1,YES,0,0,YES,6820,1240,1240,4340,Jeep,Grand Cherokee,0,15
283,436,58,OH,250/500,2000,1407.01,5000000,MALE,PhD,tech-support,sleeping,other-relative,47400,-27600,Single Vehicle Collision,Rear Collision,Major Damage,Police,WV,Riverwood,10,1,NO,0,2,NO,59900,11980,5990,41930,BMW,X5,1,21
284,189,36,OH,250/500,2000,1388.58,0,FEMALE,MD,priv-house-serv,basketball,own-child,0,-49400,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Riverwood,17,3,NO,1,3,YES,79560,13260,13260,53040,Ford,Escape,0,9
285,105,33,IL,500/1000,500,1310.76,0,FEMALE,High School,adm-clerical,kayaking,not-in-family,0,-40900,Single Vehicle Collision,Front Collision,Total Loss,Other,VA,Northbrook,8,1,YES,0,1,NO,70290,12780,6390,51120,Accura,MDX,0,10
286,163,31,IN,100/300,1000,1004.63,6000000,MALE,JD,priv-house-serv,hiking,not-in-family,26900,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Hillsdale,14,3,YES,2,0,NO,63910,5810,11620,46480,Suburu,Forrestor,0,19
287,219,40,OH,100/300,500,1134.91,0,FEMALE,Associate,transport-moving,golf,not-in-family,68700,0,Vehicle Theft,Rear Collision,Trivial Damage,None,SC,Riverwood,6,1,NO,1,0,NO,6400,640,640,5120,Toyota,Camry,0,21
288,88,25,IN,250/500,1000,1194.0,0,FEMALE,JD,handlers-cleaners,movies,husband,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Northbrook,6,1,YES,1,2,YES,66780,7420,7420,51940,Ford,Escape,1,5
289,40,39,IN,500/1000,1000,1248.25,4000000,FEMALE,College,sales,hiking,own-child,0,-33300,Parked Car,Rear Collision,Minor Damage,Police,VA,Northbrook,8,1,NO,0,2,NO,8760,1460,1460,5840,BMW,3 Series,0,5
290,284,42,OH,100/300,500,1338.54,-1000000,MALE,Associate,machine-op-inspct,kayaking,wife,0,0,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,NC,Arlington,13,1,YES,0,1,NO,94160,8560,17120,68480,Chevrolet,Malibu,0,22
291,59,40,IL,250/500,2000,782.23,0,MALE,College,protective-serv,golf,other-relative,64200,-32300,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,OH,Springfield,0,3,NO,0,2,NO,51570,5730,11460,34380,BMW,X5,0,8
292,39,31,IL,250/500,2000,1366.9,0,FEMALE,High School,handlers-cleaners,polo,husband,0,-15700,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NC,Northbend,14,3,NO,1,0,NO,52700,10540,10540,31620,BMW,X6,1,4
293,147,34,IL,500/1000,1000,1275.81,0,MALE,High School,sales,dancing,wife,0,-48300,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NY,Columbus,13,1,YES,2,2,NO,101010,15540,15540,69930,Mercedes,ML350,0,20
294,156,37,IN,250/500,500,1090.65,0,MALE,High School,exec-managerial,golf,unmarried,0,-51800,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NC,Columbus,16,4,NO,1,2,YES,53400,5340,5340,42720,Honda,Civic,1,8
295,123,31,IN,250/500,500,1326.0,0,FEMALE,Associate,prof-specialty,basketball,wife,0,-54600,Single Vehicle Collision,Side Collision,Total Loss,Fire,SC,Northbrook,13,1,NO,1,2,NO,72120,12020,12020,48080,Mercedes,ML350,0,9
296,231,43,IL,250/500,2000,972.47,0,MALE,College,protective-serv,reading,wife,0,-58100,Multi-vehicle Collision,Front Collision,Minor Damage,Police,PA,Hillsdale,15,3,YES,2,2,YES,77100,7710,15420,53970,Audi,A3,0,8
297,247,39,IL,100/300,500,806.31,0,FEMALE,College,handlers-cleaners,dancing,wife,0,0,Parked Car,Rear Collision,Trivial Damage,Police,SC,Northbend,3,1,NO,2,3,NO,3300,600,0,2700,Dodge,RAM,0,15
298,194,35,IL,500/1000,500,1416.24,0,FEMALE,MD,adm-clerical,golf,not-in-family,0,0,Parked Car,Rear Collision,Minor Damage,None,WV,Northbend,7,1,YES,1,0,NO,5940,1080,540,4320,Nissan,Pathfinder,0,15
299,119,27,IN,250/500,2000,1097.64,0,MALE,High School,transport-moving,video-games,other-relative,27100,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,PA,Northbend,16,2,NO,1,0,NO,63720,7080,21240,35400,Accura,TL,0,12
300,259,43,IL,100/300,500,947.75,0,FEMALE,Masters,farming-fishing,base-jumping,not-in-family,0,-39300,Vehicle Theft,Rear Collision,Trivial Damage,Police,SC,Riverwood,15,1,NO,1,3,NO,7680,1280,640,5760,Audi,A5,0,10
301,107,31,IL,100/300,2000,1018.73,5000000,MALE,Associate,handlers-cleaners,yachting,own-child,20000,-82700,Multi-vehicle Collision,Side Collision,Total Loss,Police,NY,Riverwood,21,3,YES,1,2,NO,93730,14420,21630,57680,Honda,CRV,0,17
302,48,44,IL,100/300,2000,1400.74,0,MALE,College,sales,base-jumping,other-relative,34000,-55600,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NC,Arlington,23,3,YES,0,2,NO,87300,17460,17460,52380,Jeep,Wrangler,0,5
303,267,40,IL,250/500,500,1155.53,5000000,MALE,JD,transport-moving,camping,wife,0,-35200,Parked Car,Rear Collision,Trivial Damage,Police,NY,Columbus,5,1,NO,0,2,NO,5670,1260,630,3780,Ford,F150,0,21
304,286,47,IN,250/500,500,1386.93,0,MALE,High School,priv-house-serv,bungie-jumping,husband,54100,-77600,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,Springfield,15,3,YES,0,0,NO,65800,13160,6580,46060,Accura,TL,0,17
305,175,34,OH,100/300,500,915.29,0,FEMALE,JD,handlers-cleaners,base-jumping,wife,82400,-57100,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Arlington,14,1,NO,2,1,YES,36720,4080,4080,28560,Honda,Accord,1,9
306,111,29,IL,250/500,500,1239.55,2000000,FEMALE,PhD,farming-fishing,kayaking,own-child,0,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,SC,Riverwood,1,1,NO,1,1,YES,52800,4800,9600,38400,Mercedes,ML350,1,22
307,151,37,IN,250/500,500,1366.42,0,FEMALE,Associate,protective-serv,cross-fit,unmarried,44000,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Arlington,14,3,NO,1,2,YES,59100,5910,5910,47280,Nissan,Maxima,1,20
308,156,37,OH,500/1000,1000,1086.48,6000000,MALE,Associate,machine-op-inspct,hiking,unmarried,0,-53800,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Northbrook,17,3,NO,1,1,YES,77440,14080,7040,56320,Suburu,Legacy,0,19
309,165,36,IL,250/500,2000,1247.87,0,MALE,Masters,armed-forces,golf,husband,0,-39700,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,Northbend,20,3,NO,2,2,NO,45700,4570,4570,36560,BMW,3 Series,0,10
310,253,41,OH,100/300,2000,1312.75,0,FEMALE,PhD,sales,dancing,other-relative,81300,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,SC,Springfield,10,3,NO,2,2,YES,80740,7340,14680,58720,Toyota,Camry,1,4
311,10,26,IN,100/300,2000,765.64,0,MALE,MD,sales,base-jumping,not-in-family,0,-22200,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Northbrook,3,3,NO,0,3,NO,31350,2850,5700,22800,Honda,Accord,1,17
312,158,33,OH,100/300,2000,1327.41,0,FEMALE,Associate,handlers-cleaners,skydiving,other-relative,0,-38600,Single Vehicle Collision,Side Collision,Total Loss,Other,SC,Hillsdale,0,1,NO,0,0,NO,35000,3500,7000,24500,Suburu,Legacy,0,6
313,436,59,OH,500/1000,1000,1338.55,0,MALE,PhD,protective-serv,board-games,own-child,39000,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,WV,Hillsdale,10,3,NO,2,2,NO,68000,13600,6800,47600,Toyota,Corolla,0,4
314,91,30,IL,250/500,2000,1316.63,8000000,FEMALE,Masters,machine-op-inspct,golf,unmarried,43900,0,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbend,13,3,YES,2,0,NO,84500,13000,13000,58500,BMW,X6,0,9
315,256,42,IL,500/1000,1000,1286.44,0,FEMALE,MD,transport-moving,bungie-jumping,wife,0,-39500,Single Vehicle Collision,Rear Collision,Minor Damage,Police,WV,Northbend,14,1,NO,2,1,NO,75500,7550,15100,52850,Nissan,Ultima,0,20
316,274,46,OH,500/1000,1000,1372.18,0,MALE,High School,exec-managerial,bungie-jumping,not-in-family,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,Riverwood,22,3,NO,1,3,NO,90600,15100,15100,60400,BMW,X5,0,9
317,275,45,IN,500/1000,2000,1447.77,0,FEMALE,Associate,adm-clerical,camping,wife,39400,-63900,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,VA,Northbend,8,3,YES,1,1,NO,64320,5360,10720,48240,Accura,MDX,0,20
318,1,33,IL,250/500,500,903.32,0,FEMALE,High School,transport-moving,yachting,not-in-family,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Northbend,1,3,NO,1,0,NO,31700,6340,3170,22190,Toyota,Highlander,0,12
319,85,30,IN,500/1000,1000,1454.42,0,MALE,Associate,protective-serv,reading,other-relative,51600,-73900,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,Springfield,19,1,YES,0,1,YES,74280,12380,12380,49520,Suburu,Forrestor,1,12
320,233,37,IL,100/300,2000,1603.42,0,FEMALE,High School,sales,video-games,wife,61600,-30200,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Columbus,17,1,YES,0,2,YES,80520,13420,6710,60390,Toyota,Corolla,0,13
